Column1,ARO_BUSSTO,BUSSTOP_EN,BUSSTOP_NM,BUS_NODE_I,GPS_LATI,GPS_LONG,ROUTE_NO
"1508","81320",Arirang Bossam Entrance,아리랑보쌈앞,"8005655",36.394547000000003,127.352639999999994,"1"
"1509","82020",Arirang Bossam Entrance,아리랑보쌈앞,"8005756",36.394286999999998,127.352750000000000,"1"
"1510","12130",Arirang Furniture Mall,아리랑프라자,"8002158",36.348269999999999,127.429344000000000,"105"
"1511","12150",Arirang Furniture Mall,아리랑프라자,"8002157",36.347709999999999,127.429959999999994,"105"
"1512","32190",Ai Building,아이빌딩,"8002159",36.351405999999997,127.380610000000004,"104, 106, 316, 617, 703, 705, 911"
"1513","11480",Seokchonmaeul Apts.,아침마을아파트,"8001970",36.342260000000003,127.439310000000006,"605, 613, 620, 802"
"1514","53180",Daecheong Dam,안골,"8005882",36.469960000000000,127.472070000000002,"72-1, 72-2, 73"
"1515","31600",Angol Negeori(Intersection),안골네거리,"8002161",36.335810000000002,127.372444000000002,"203, 216, 301, 605, 613"
"1516","31620",Angol Negeori(Intersection),안골네거리,"8002160",36.335259999999998,127.372489999999999,"203, 216, 301"
"1517","46320",---,안골입구,"8007247",36.288049999999998,127.248924000000002,"46"
"1518","46330",---,안골입구,"8007248",36.288105000000002,127.249039999999994,"46"
"1519","13470",Andaebyeol,안대별,"8002164",36.286952999999997,127.455050000000000,"52"
"1520","13480",Andaebyeol,안대별,"8002163",36.287010000000002,127.455050000000000,"52"
"1521","23160",In Boksu-gil,안복수길,"8005935",36.296680000000002,127.376790000000000,"314, 316"
"1522","23170",In Boksu-gil,안복수길,"8005934",36.296770000000002,127.376840000000001,"314, 316"
"1523","43800",Ansan1-tong,안산1통,"8070047",36.410609999999998,127.299530000000004,"101, 116, 119, 655"
"1524","46030",Ansan1-tong,안산1통,"8070036",36.410435000000000,127.299576000000002,"101, 116, 119, 655"
"1525","51110",Ansan Public Library,안산도서관,"8002168",36.368668000000000,127.427536000000003,"617, 711"
"1527","43760",Ansan Mountain Fortress Wall,안산산성,"8002169",36.412582000000000,127.297740000000005,"101, 116, 119, 655"
"1528","46040",Ansan Mountain Fortress Wall,안산산성,"8070035",36.413048000000003,127.298000000000002,"101, 116, 119, 655"
"1529","13200",Anagammaeul,안아감마을,"8005864",36.353203000000001,127.515950000000004,"62"
"1530","22680",Anyeonggyo(Bridge),안영교,"8002171",36.285190000000000,127.376334999999997,"313, 316, 34, 513"
"1531","22690",Anyeonggyo(Bridge),안영교,"8002172",36.285151999999997,127.376549999999995,"313, 316, 34, 513"
"1532","22700",Anyeong-dong / Geombawi Village,안영동검바위마을,"8002173",36.273220000000002,127.377200000000002,"34"
"1534","41010",Aloe Farm,알로에농장,"8002177",36.266914000000000,127.284829999999999,"2002, 202, 42, 43, 45, 46, 47, 47-1"
"1535","41020",Aloe Farm,알로에농장,"8002176",36.266579999999998,127.285430000000005,"2002, 202, 42, 43, 45, 46, 47, 47-1"
"1536","35190",---,암뱀골,"8007264",36.275837000000003,127.364456000000004,"27"
"1537","35200",---,암뱀골,"8007265",36.275779999999997,127.364620000000002,"27"
"1538","74030",Apjae,압재,"8005200",36.238605000000000,127.371780000000001,"34"
