,ARO_BUSSTOP_ID,BUSSTOP_ENG_NM,BUSSTOP_NM,BUS_NODE_ID,GPS_LATI,GPS_LONG,ROUTE_NO
569,['22790'],['Daejeon Youth Suryeonmaeul'],['대전청소년수련마을'],['8005641'],['36.270885'],['127.39305'],[' 30']
570,['34480'],['Public Cemetery'],['대전추모공원'],['8001107'],['36.279682'],['127.34707'],"[' 21, 25']"
571,['34490'],['Public Cemetery'],['대전추모공원'],['8001108'],['36.27981'],['127.34718'],"[' 21, 25']"
572,['21240'],['Daejeon&Chungnam Regional Military Manpower Administration'],['대전충남병무청'],['8002734'],['36.322998'],['127.41465'],"[' 101, 103, 20, 2002, 201, 202, 311, 314, 33-1, 33-2, 513, 608, 612, 613, 614, 622']"
573,['22250'],['Daejeon&Chungnam Regional Military Manpower Administration'],['대전충남병무청'],['8002733'],['36.322647'],['127.41511'],"[' 101, 103, 20, 2002, 201, 202, 30, 311, 314, 33-1, 33-2, 513, 608, 612, 613, 614, 622']"
574,['43280'],['Daejeon Convention Center'],['대전컨벤션센터'],['8005901'],['36.374454'],['127.392265'],"[' 121, 705, 911']"
575,['45550'],['Daejeon Convention Center'],['대전컨벤션센터'],['8005950'],['36.37544'],['127.39328'],"[' 618, 911']"
576,['20270'],['Samsung Life Insurance'],['대전테크노파크'],['8001874'],['36.327652'],['127.42272'],"[' 511, 603']"
577,['82330'],['---'],['대전테크노파크'],['8007224'],['36.42062'],['127.40433'],[' 1']
578,['82340'],['---'],['대전테크노파크'],['8007225'],['36.42086'],['127.40454'],[' 1']
579,['40290'],['Daejeong2(e)tong'],['대정2통'],['8001438'],['36.315563'],['127.315384'],"[' 3, 704']"
580,['40260'],['Daejeong-dong'],['대정동'],['8001439'],['36.319748'],['127.31369'],"[' 3, 704']"
581,['40270'],['Daejeong-dong'],['대정동'],['8001440'],['36.319496'],['127.31408'],"[' 3, 704']"
582,['20240'],['Daejongno Negeori(Intersection)'],['대종로네거리'],['8001442'],['36.334377'],['127.42098'],"[' 620, 705']"
583,['20260'],['Daejongno Negeori(Intersection)'],['대종로네거리'],['8001441'],['36.334106'],['127.42106'],"[' 620, 705']"
584,['11330'],['Daeju Parkvil Apts.'],['대주파크빌'],['8001445'],['36.342396'],['127.4488'],[' 311']
585,['11590'],['Daeju Parkvil Apts.'],['대주파크빌'],['8001443'],['36.342636'],['127.44803'],"[' 102, 103']"
586,['11600'],['Daeju Parkvil Apts.'],['대주파크빌'],['8001444'],['36.34312'],['127.44945'],[' 311']
587,['45430'],['Daecheong ENG'],['대청ENG'],['8005955'],['36.41205'],['127.40983'],"[' 1, 701']"
588,['52780'],['Daecheong Dam'],['대청댐'],['8001446'],['36.470657'],['127.472755'],"[' 72-1, 72-2, 73']"
589,['13050'],['Daecheong-dong Community Center'],['대청동주민센터'],['8001447'],['36.34334'],['127.49305'],"[' 607, 62, 63']"
590,['35150'],['---'],['대청병원'],['8007246'],['36.30659'],['127.370605'],"[' 216, 301, 916']"
591,['35160'],['---'],['대청병원'],['8007245'],['36.307415'],['127.36973'],"[' 216, 301, 916']"
592,['12520'],['Daecheongho Natural Ecosystem Hall'],['대청호자연생태관'],['8001448'],['36.373745'],['127.47215'],"[' 60, 61-1, 61-2']"
593,['12540'],['Daecheongho Natural Ecosystem Hall'],['대청호자연생태관'],['8001449'],['36.373554'],['127.47212'],"[' 60, 61-1, 61-2']"
594,['33640'],['Daechubeol'],['대추벌'],['8001450'],['36.265396'],['127.33294'],[' 25']
595,['33650'],['Daechubeol'],['대추벌'],['8001451'],['36.265457'],['127.33304'],[' 25']
596,[],[],[],[],[],[],[]
