법정동,BUS_ID,BUS_NN,탑승,하차,환승,BUS_NODE_I,GPS_LATI(위도),GPS_LONG(경도),ROUTE_NO
동구 자양동,11310,우송대학교서캠퍼스,51679,37874,1252,8002339,36.337547,127.44774,"102, 103, 311"
동구 자양동,11340,우송어학센터,34193,29399,2082,8002343,36.339973,127.44899,"102, 103, 311"
동구 자양동,11320,자양동,35926,23907,1119,8002485,36.34058,127.448616,"102, 103, 311"
동구 자양동,11350,자양동주민센터,16138,10072,340,8002486,36.335636,127.44929,"605, 608"
동구 자양동,11360,자양동주민센터,3883,12004,320,8002487,36.335342,127.44951,"605, 608"
동구 신안동,11390,베스티안우송병원,16396,19721,1932,8002156,36.328274,127.439354,"102, 103, 20, 30, 311, 317, 512, 603, 605, 608, 611, 616, 711"
동구 신안동,11400,대전역동광장,2,2,0,8002114,36.33171,127.44028," 711, 20, 30, 317, 616, 62, 711,  711"
동구 신안동,11400,신안동,2,2,0,8002114,36.33171,127.44028," 711, 20, 30, 317, 616, 62, 711,  711"
동구 소제동,12360,대성여자고등학교,9650,8189,569,8001366,36.337444,127.43807,"2002, 202, 317, 60, 605, 615, 616, 63, 701"
동구 소제동,11430,대전역동광장,924,5797,100,8005548,36.33349,127.43838,"615, 701"
동구 소제동,14630,대전역동광장,4056,21716,1375,8007268,36.333817,127.43729,"102, 107, 30, 317, 33-1, 33-2, 52, 616, 705, 711, B1"
동구 소제동,11470,신안동,1421,737,256,8002115,36.33159,127.440704,"20, 317, 616, 62, 711"
동구 소제동,11450,중앙동주민센터,4522,3950,719,8002040,36.335583,127.43895,"202, 317, 60, 605, 615, 616, 63, 701"
동구 소제동,11460,중앙동주민센터,7686,8105,1228,8002039,36.33516,127.43944,"101, 202, 317, 60, 605, 615, 616, 63, 701"
동구 소제동,12350,대성여자고등학교,14468,8366,1102,8001365,36.33699,127.43872," 101, 2002, 202, 317, 60, 605, 615, 616, 63, 701,  101"
동구 소제동,11410,대전역동광장,25474,5523,5740,8005504,36.33353,127.43734," 102, 317, 616, 705, 705, 711, B1,  102, 317, 616, 705"
동구 소제동,11420,대전역동광장,639,2425,140,8005621,36.332615,127.43771," 605, 20, 2002, 202, 317, 33-1, 33-2, 52, 60, 616, 63,  605"
동구 소제동,11420,대전역동광장종점,639,2425,140,8005621,36.332615,127.43771," 605, 20, 2002, 202, 317, 33-1, 33-2, 52, 60, 616, 63,  605"
동구 가양동,11540,가양네거리,11906,16493,1610,8001035,36.346535,127.444756,"102, 605, 802"
동구 가양동,11550,가양네거리,47104,27940,15651,8001036,36.34641,127.445335,"102, 105, 106, 605, 802"
동구 가양동,11580,가양네거리,7258,29332,1198,8001034,36.34603,127.44739,"103, 105, 106, 613, 620"
동구 가양동,11520,가양도서관,20833,25901,8506,8002899,36.348995,127.443214,"102, 105, 106, 605, 802"
동구 가양동,11530,가양도서관,22254,9757,1834,8002898,36.348614,127.443924,"102, 105, 106, 605, 802"
동구 가양동,11570,가양동우체국,30378,6246,1791,8001040,36.346153,127.44707,"103, 105, 106, 613, 620"
동구 가양동,11500,가양초등학교,21759,10537,962,8001228,36.343613,127.44162,"605, 613, 620, 802"
동구 가양동,11510,가양초등학교,13747,16120,830,8001229,36.344067,127.443184,"605, 613, 620, 802"
동구 가양동,11610,대전보건대학,67851,4104,1973,8001400,36.348354,127.45088,"103, 105, 106, 613, 620"
동구 가양동,11630,대전보건대학,7394,53855,1018,8001401,36.34831,127.45116,"103, 105, 106, 613, 620"
동구 가양동,11670,대전보건대학,23056,5849,213,8001403,36.34843,127.45379,311
동구 가양동,11680,대전보건대학,5805,16788,60,8001402,36.348534,127.45397,311
동구 가양동,11590,대주파크빌,19655,12769,995,8001443,36.342636,127.44803,"102, 103"
동구 가양동,11600,대주파크빌,18875,6662,183,8001444,36.34312,127.44945,311
동구 가양동,11490,동부네거리,14128,22491,6548,8001533,36.350216,127.44048,"102, 105, 106, 201, 501, 601, 602, 607, 616, 622, 802"
동구 가양동,11660,동아마이스터고,10956,2639,25,8001547,36.34487,127.45285,311
동구 가양동,11690,명석고등학교,52991,12036,6111,8001612,36.354073,127.45417,"103, 105, 106, 311, 613, 620"
동구 가양동,12000,성남네거리,11481,13830,1461,8001995,36.341225,127.43724,"605, 613, 620, 802"
동구 가양동,11480,아침마을아파트,9004,7233,402,8001970,36.34226,127.43931,"605, 613, 620, 802"
동구 가양동,11700,우암사적공원,8285,2487,35,8002346,36.346542,127.45544,311
동구 가양동,11710,우암사적공원,2405,11103,9,8002347,36.346783,127.456085,311
동구 가양동,11620,평화아파트,6075,57,103,8002843,36.354103,127.450836,"105, 66"
동구 가양동,11640,한국폴리텍대학,39805,5864,2853,8002893,36.350567,127.452126,"103, 105, 106, 311, 613, 620"
동구 가양동,11650,한국폴리텍대학,10319,28623,2004,8002894,36.350624,127.45245,"103, 105, 106, 311, 613, 620"
동구 가양동,11560,흥룡초등학교,12624,11328,592,8001037,36.34435,127.44649,"102, 103"
동구 용전동,11880,구샤또호텔,2650,5124,238,8001920,36.35286,127.43957,"605, 611, 701"
